A				A1		
8.16304348	0.75652174	0.46669004		8.16304348	0.75652174	0.76669004
5.81304348	-1.79347826	-0.33330996		5.81304348	-1.79347826	0.76669004
-2.88695652	0.65652174	-0.73330996		-2.88695652	0.65652174	0.16669004
2.26304348	-0.04347826	-0.78330996		2.26304348	-0.04347826	0.41669004
-6.48695652	-0.89347826	-0.08330996		-6.48695652	-0.89347826	0.91669004
-3.28695652	-1.99347826	-0.03330996		-3.28695652	-1.99347826	0.46669004
						
B				b1		
9.66304348	0.75652174	0.46669004		9.66304348	0.75652174	0.76669004
8.01304348	-1.79347826	-0.33330996		8.01304348	-1.79347826	0.76669004
-0.48695652	0.65652174	-0.73330996		-0.48695652	0.65652174	0.16669004
3.96304348	-0.04347826	-0.78330996		3.96304348	-0.04347826	0.41669004
-4.08695652	-0.89347826	-0.08330996		-4.08695652	-0.89347826	0.91669004
-0.88695652	-1.99347826	-0.03330996		-0.88695652	-1.99347826	0.46669004
						
C				C1		
9.66304348	1.65652174	0.46669004		9.66304348	1.65652174	0.76669004
8.01304348	-0.99347826	-0.33330996		8.01304348	-0.99347826	0.76669004
-0.48695652	1.75652174	-0.73330996		-0.48695652	1.75652174	0.16669004
3.96304348	1.25652174	-0.78330996		3.96304348	1.25652174	0.41669004
-4.08695652	0.30652174	-0.08330996		-4.08695652	0.30652174	0.91669004
-0.88695652	-0.99347826	-0.03330996		-0.88695652	-0.99347826	0.46669004
						
D				D1		
8.16304348	1.65652174	0.46669004		8.16304348	1.65652174	0.76669004
5.81304348	-0.99347826	-0.33330996		5.81304348	-0.99347826	0.76669004
-2.88695652	1.75652174	-0.73330996		-2.88695652	1.75652174	0.16669004
2.26304348	1.25652174	-0.78330996		2.26304348	1.25652174	0.41669004
-6.48695652	0.30652174	-0.08330996		-6.48695652	0.30652174	0.91669004
-3.28695652	-0.99347826	-0.03330996		-3.28695652	-0.99347826	0.46669004
